length,domain,segments
3,suli.hu,2
3,szex.hu,2
3,tozsde.hu,2
3,utazas.hu,2
3,video.hu,2
2,id,1
3,ac.id,2
3,biz.id,2
3,co.id,2
3,desa.id,2
3,go.id,2
3,mil.id,2
3,my.id,2
3,net.id,2
3,or.id,2
3,sch.id,2
3,web.id,2
2,ie,1
3,gov.ie,2
3,il,1
2,im,1
3,ac.im,2
3,co.im,2
3,com.im,2
4,ltd.co.im,3
3,net.im,2
3,org.im,2
4,plc.co.im,3
3,tt.im,2
3,tv.im,2
2,in,1
3,co.in,2
3,firm.in,2
3,net.in,2
3,org.in,2
3,gen.in,2
3,ind.in,2
3,nic.in,2
3,ac.in,2
3,edu.in,2
3,res.in,2
3,gov.in,2
3,mil.in,2
2,info,1
2,int,1
3,eu.int,2
2,io,1
3,com.io,2
2,iq,1
3,gov.iq,2
3,edu.iq,2
3,mil.iq,2
3,com.iq,2
3,org.iq,2
3,net.iq,2
2,ir,1
3,ac.ir,2
3,co.ir,2
3,gov.ir,2
3,id.ir,2
3,net.ir,2
3,org.ir,2
3,sch.ir,2
3,ایران.ir,2
3,xn--mgba3a4f16a.ir,2
3,xn--mgba3a4fra.ir,2
3,ايران.ir,2
2,is,1
3,net.is,2
3,com.is,2
3,edu.is,2
3,gov.is,2
3,org.is,2
3,int.is,2
2,it,1
3,gov.it,2
3,edu.it,2
3,abr.it,2
3,abruzzo.it,2
3,aosta-valley.it,2
3,aostavalley.it,2
3,bas.it,2
3,basilicata.it,2
3,cal.it,2
3,calabria.it,2
3,cam.it,2
3,campania.it,2
3,emilia-romagna.it,2
3,emiliaromagna.it,2
3,emr.it,2
3,friuli-v-giulia.it,2
3,friuli-ve-giulia.it,2
3,friuli-vegiulia.it,2
3,friuli-venezia-giulia.it,2
3,friuli-veneziagiulia.it,2
3,friuli-vgiulia.it,2
3,friuliv-giulia.it,2
3,friulive-giulia.it,2
3,friulivegiulia.it,2
3,friulivenezia-giulia.it,2
3,friuliveneziagiulia.it,2
3,friulivgiulia.it,2
3,fvg.it,2
3,laz.it,2
3,lazio.it,2
3,lig.it,2
3,liguria.it,2
3,lom.it,2
3,lombardia.it,2
3,lombardy.it,2
3,lucania.it,2
3,mar.it,2
3,marche.it,2
3,mol.it,2
3,molise.it,2
3,piedmont.it,2
3,piemonte.it,2
3,pmn.it,2
3,pug.it,2
3,puglia.it,2
3,sar.it,2
3,sardegna.it,2
3,sardinia.it,2
3,sic.it,2
3,sicilia.it,2
3,sicily.it,2
3,taa.it,2
3,tos.it,2
3,toscana.it,2
3,trentino-a-adige.it,2
3,trentino-aadige.it,2
3,trentino-alto-adige.it,2
3,trentino-altoadige.it,2
3,trentino-s-tirol.it,2
3,trentino-stirol.it,2
3,trentino-sud-tirol.it,2
3,trentino-sudtirol.it,2
3,trentino-sued-tirol.it,2
